date,race,age,sex
2023-12-06,Unknown,17,F
2023-12-10,Other,23,M
2023-12-11,Black or African American,16,F
2023-12-11,Black or African American,23,F
2023-12-12,Black or African American,16,F
2023-12-16,Black or African American,12,F
2023-12-18,Unknown,16,F
2023-12-23,Black or African American,17,M
2023-12-26,Black or African American,22,F
2023-12-27,White,21,F
2023-12-28,Black or African American,13,F
